date,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
1970-01-01 00:00:00.000000057,2010-12-31,USD,16965000000,35956000000,18991000000,18991000000,6481000000,2054000000,None,10484000000,None,None,None,660000000,None,None,None,1170000000,6481000000,2008000000,None,None,None,7141000000,8311000000,4377000000
1970-01-01 00:00:00.000000058,2010-09-30,USD,442000000,36435000000,35993000000,35993000000,4534000000,1896000000,None,-4092000000,None,None,None,668000000,None,None,None,1094000000,4534000000,1415000000,None,None,None,5202000000,6296000000,2989000000
1970-01-01 00:00:00.000000059,2010-06-30,USD,695000000,33883000000,33188000000,33188000000,2938000000,1915000000,None,-2243000000,None,None,None,637000000,None,None,None,1100000000,2938000000,848000000,None,None,None,3575000000,4675000000,1968000000
1970-01-01 00:00:00.000000060,2010-03-31,USD,-3699000000,31623000000,35322000000,35322000000,5098000000,1839000000,None,-8797000000,None,None,None,593000000,None,None,None,915000000,5098000000,1336000000,None,None,None,5691000000,6606000000,3633000000
1970-01-01 00:00:00.000000061,2009-12-31,USD,-3245000000,29207000000,32452000000,32452000000,4465000000,2066000000,None,-7710000000,None,None,None,500000000,None,None,None,812000000,4465000000,1431000000,None,None,None,4965000000,5777000000,3056000000
1970-01-01 00:00:00.000000062,2009-09-30,USD,-3604000000,28210000000,31814000000,31814000000,4839000000,2015000000,None,-8443000000,None,None,None,494000000,None,None,None,779000000,4839000000,1601000000,None,None,None,5333000000,6112000000,3238000000
1970-01-01 00:00:00.000000063,2009-06-30,USD,-3448000000,27310000000,30758000000,30758000000,4791000000,2073000000,None,-8239000000,None,None,None,510000000,None,None,None,778000000,4791000000,1520000000,None,None,None,5301000000,6079000000,3295000000
1970-01-01 00:00:00.000000064,2009-03-31,USD,-3041000000,27397000000,30438000000,30438000000,-2543000000,2282000000,None,-498000000,None,None,None,488000000,None,None,None,758000000,-2543000000,-1014000000,None,None,None,-2055000000,-1297000000,-1534000000
1970-01-01 00:00:00.000000065,2008-12-31,USD,10830000000,29199000000,18369000000,18369000000,148000000,2282000000,None,10682000000,None,None,None,480000000,None,None,None,6571000000,148000000,-167000000,None,None,None,-6141000000,628000000,117000000
1970-01-01 00:00:00.000000066,2008-09-30,USD,-4434000000,29435000000,33869000000,33869000000,1502000000,1861000000,None,-5936000000,None,None,None,514000000,None,None,None,None,1502000000,294000000,None,None,None,1502000000,2016000000,1057000000
1970-01-01 00:00:00.000000067,2008-06-30,USD,-2530000000,29829000000,32359000000,32359000000,4471000000,2049000000,None,-7001000000,None,None,None,493000000,None,None,None,None,4471000000,1443000000,None,None,None,4471000000,4964000000,2880000000
1970-01-01 00:00:00.000000068,2008-03-31,USD,-1930000000,26816000000,28746000000,28746000000,1453000000,1860000000,None,-3383000000,None,None,None,476000000,None,None,None,None,1453000000,408000000,None,None,None,1453000000,1929000000,940000000
1970-01-01 00:00:00.000000069,2007-12-31,USD,11985000000,28470000000,16485000000,16485000000,4426000000,1964000000,None,7559000000,None,None,None,497000000,None,None,None,10864000000,4426000000,1392000000,None,None,None,-6028000000,4923000000,2947000000
1970-01-01 00:00:00.000000070,2007-09-30,USD,12286000000,29873000000,17587000000,17587000000,6847000000,1732000000,None,5439000000,None,None,None,481000000,None,None,None,None,6847000000,2197000000,None,None,None,6847000000,7328000000,4553000000
