,fiscalDateEnding,ticker,operatingIncome,ebit,incomeBeforeTax,incomeTaxExpense,netIncome,nonOperatingItems,netInterest
155,2023-09-30,AMZN,11188000000,11188000000,12189000000,2306000000,9879000000,266000000.0,-30000000.0
156,2023-12-31,AMZN,13209000000,13209000000,13686000000,3062000000,10624000000,188000000.0,188000000.0
157,2024-03-31,AMZN,15307000000,15307000000,12898000000,2467000000,10431000000,349000000.0,349000000.0
158,2024-06-30,AMZN,14769000000,14769000000,15245000000,1767000000,13485000000,-589000000.0,-589000000.0
159,2024-09-30,AMZN,17411000000,18640000000,18037000000,2706000000,15328000000,653000000.0,653000000.0
160,2024-12-31,AMZN,21203000000,22919000000,22349000000,2325000000,20004000000,678000000.0,678000000.0
161,2025-03-31,AMZN,18405000000,22220000000,21679000000,4553000000,17127000000,525000000.0,525000000.0
162,2005-03-31,BRK-B,1832000000,1832000000,1973000000,600000000,1363000000,-166000000.0,-166000000.0
163,2005-06-30,BRK-B,2054000000,222000000,2154000000,691000000,1449000000,-195000000.0,-195000000.0
164,2005-09-30,BRK-B,694000000,2526000000,835000000,232000000,586000000,-193000000.0,-193000000.0
165,2005-12-31,BRK-B,7688000000,7688000000,7829000000,2636000000,5130000000,-169000000.0,-169000000.0
166,2006-03-31,BRK-B,3613000000,3613000000,3613000000,1242000000,2313000000,-362000000.0,-362000000.0
167,2006-06-30,BRK-B,3602000000,3602000000,3602000000,1208000000,2347000000,-446000000.0,-446000000.0
168,2006-09-30,BRK-B,4301000000,4301000000,4301000000,1451000000,2772000000,-463000000.0,-463000000.0
169,2006-12-31,BRK-B,5262000000,-4734000000,5262000000,1604000000,3583000000,-453000000.0,-453000000.0
170,2007-03-31,BRK-B,4072000000,4072000000,4072000000,1388000000,2595000000,-463000000.0,-463000000.0
171,2007-06-30,BRK-B,4816000000,4816000000,4816000000,1617000000,3118000000,-469000000.0,-469000000.0
172,2007-09-30,BRK-B,6847000000,6847000000,6847000000,2197000000,4553000000,-481000000.0,-481000000.0
173,2007-12-31,BRK-B,4426000000,-6028000000,4426000000,1392000000,2947000000,-497000000.0,-497000000.0
174,2008-03-31,BRK-B,1453000000,1453000000,1453000000,408000000,940000000,-476000000.0,-476000000.0
175,2008-06-30,BRK-B,4471000000,4471000000,4471000000,1443000000,2880000000,-493000000.0,-493000000.0
176,2008-09-30,BRK-B,1502000000,1502000000,1502000000,294000000,1057000000,-514000000.0,-514000000.0
